species,phylum,count
Species1,Bacteroidetes,434
Species2,Mollusca,359
Species3,Proteobacteria,322
Species4,Bacteroidetes,379
Species5,Bacteroidetes,184
Species6,Ginkgophyta,182
Species7,Chytridiomycota,89
Species8,Chytridiomycota,282
Species9,Mollusca,198
Species10,Chytridiomycota,118
Species11,Bryophyta,465
Species12,Porifera,406
Species13,Basidiomycota,39
Species14,Porifera,411
Species15,Proteobacteria,241
Species16,Annelida,85
Species17,Firmicutes,249
Species18,Ciliophora,476
Species19,Bacteroidetes,103
Species20,Euglenozoa,488
Species21,Cyanobacteria,119
Species22,Actinobacteria,315
Species23,Ciliophora,415
Species24,Mollusca,464
Species25,Glomeromycota,320
Species26,Basidiomycota,56
Species27,Mollusca,463
Species28,Basidiomycota,195
Species29,Porifera,322
Species30,Arthropoda,409
Species31,Glomeromycota,417
Species32,Pteridophyta,216
Species33,Ascomycota,208
Species34,Ciliophora,294
Species35,Basidiomycota,59
Species36,Ginkgophyta,371
Species37,Euglenozoa,232
Species38,Proteobacteria,130
Species39,Annelida,455
Species40,Chytridiomycota,469
Species41,Nematoda,43
Species42,Pteridophyta,395
Species43,Mollusca,361
Species44,Actinobacteria,143
Species45,Ciliophora,341
Species46,Firmicutes,167
Species47,Ginkgophyta,434
Species48,Proteobacteria,316
Species49,Chordata,134
Species50,Actinobacteria,18
Species51,Bacteroidetes,465
Species52,Annelida,48
Species53,Annelida,443
Species54,Ascomycota,305
Species55,Euglenozoa,472
Species56,Chytridiomycota,394
Species57,Porifera,36
Species58,Cyanobacteria,161
Species59,Glomeromycota,164
Species60,Proteobacteria,189
Species61,Bryophyta,136
Species62,Chytridiomycota,365
Species63,Euglenozoa,155
Species64,Bacteroidetes,169
Species65,Chytridiomycota,134
Species66,Pteridophyta,488
Species67,Actinobacteria,484
Species68,Bryophyta,245
Species69,Chordata,388
Species70,Pteridophyta,55
Species71,Chordata,434
Species72,Annelida,276
Species73,Ciliophora,412
Species74,Euglenozoa,38
Species75,Nematoda,127
Species76,Annelida,111
Species77,Annelida,273
Species78,Glomeromycota,448
Species79,Chordata,312
Species80,Ciliophora,419
Species81,Chytridiomycota,474
Species82,Mollusca,420
Species83,Porifera,13
Species84,Porifera,426
Species85,Ciliophora,330
Species86,Actinobacteria,220
Species87,Euglenozoa,207
Species88,Cyanobacteria,146
Species89,Arthropoda,143
Species90,Arthropoda,279
Species91,Bacteroidetes,453
Species92,Nematoda,27
Species93,Glomeromycota,265
Species94,Pteridophyta,431
Species95,Ascomycota,62
Species96,Euglenozoa,473
Species97,Bryophyta,174
Species98,Euglenozoa,118
Species99,Cyanobacteria,350
Species100,Bacteroidetes,445
Species101,Mollusca,303
Species102,Porifera,246
Species103,Euglenozoa,215
Species104,Glomeromycota,355
Species105,Chordata,131
Species106,Chytridiomycota,85
Species107,Cyanobacteria,499
Species108,Chytridiomycota,473
Species109,Mollusca,380
Species110,Firmicutes,391
Species111,Glomeromycota,398
Species112,Arthropoda,157
Species113,Nematoda,139
Species114,Arthropoda,6
Species115,Basidiomycota,9
Species116,Nematoda,48
Species117,Cyanobacteria,405
Species118,Chordata,387
Species119,Actinobacteria,494
Species120,Ciliophora,62
Species121,Arthropoda,66
Species122,Cyanobacteria,461
Species123,Bryophyta,74
Species124,Euglenozoa,232
Species125,Mollusca,145
Species126,Chytridiomycota,2
Species127,Arthropoda,396
Species128,Mollusca,122
Species129,Nematoda,157
Species130,Basidiomycota,290
Species131,Bacteroidetes,272
Species132,Firmicutes,292
Species133,Ascomycota,471
Species134,Euglenozoa,485
Species135,Proteobacteria,45
Species136,Bacteroidetes,353
Species137,Arthropoda,349
Species138,Firmicutes,421
Species139,Bryophyta,121
Species140,Nematoda,453
Species141,Chytridiomycota,31
Species142,Porifera,457
Species143,Annelida,459
Species144,Euglenozoa,256
Species145,Nematoda,406
Species146,Pteridophyta,201
Species147,Proteobacteria,186
Species148,Proteobacteria,477
Species149,Euglenozoa,152
Species150,Nematoda,297
Species151,Firmicutes,451
